name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Ryo Miyaichi,Arsenal,jp,23,M(L),183,71,0(1),17,-,-,-,-,-,100,-,-,1,-,-,-,-,1,-,-,-,1,-,-,1,1,4,1,-,-
Mesut Özil,Arsenal,de,27,M(CLR),183,76,25(1),2150,5,9,-,-,1.2,88,0.2,4,0.9,0.2,0.3,-,0.1,0.9,0.1,-,2.9,1.7,1,0.4,1.3,1.8,63,1.4,1.5,0.4
Theo Walcott,Arsenal,eng,27,"M(LR),FW",176,68,9(4),859,5,4,1,-,2.5,81.4,0.3,2,0.4,0.3,0.3,-,0.4,0.1,-,-,1.8,0.7,0.5,0.5,0.9,0.9,19.8,1.6,0.2,0.1
Lukasz Fabianski,Arsenal,pl,31,GK,190,83,1,90,-,-,-,-,-,62.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,6,-
Nicklas Bendtner,Arsenal,dk,28,FW,194,89,1(8),157,2,-,-,-,0.9,81.2,0.7,-,0.3,0.1,0.2,-,-,-,-,-,0.4,0.1,-,0.4,0.1,0.2,9.4,0.2,0.1,0.1
Aaron Ramsey,Arsenal,wls,25,M(CR),178,76,20(3),1764,10,8,3,-,2.2,84.4,0.5,6,3.3,1,1.2,-,0.7,1.6,0.1,-,1.4,1.3,1.1,0.1,1.3,0.8,65.9,-,3.3,0.4
Per Mertesacker,Arsenal,de,31,D(C),198,90,35,3150,2,-,3,-,0.5,93,2.8,1,1.2,1.7,0.3,0.8,7.2,0.4,0.5,-,0.1,0.1,0.7,-,0.1,0.2,48.8,-,2.6,-
Serge Gnabry,Arsenal,de,21,AM(R),173,73,5(4),464,1,-,-,-,1.3,85.3,0.1,-,1.4,0.7,0.2,-,0.7,0.3,-,-,0.6,1.2,0.8,-,1.1,0.9,26.4,-,0.3,0.1
Chuba Akpom,Arsenal,eng,20,FW,183,70,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aron Gunnarsson,Cardiff,is,27,DMC,178,70,17(6),1540,1,2,1,-,0.8,77.6,1.2,-,1.5,1.2,1,-,1.7,1.2,0.5,-,0.6,0.4,1,-,0.6,1,22.6,-,1,-
Ben Turner,Cardiff,eng,28,D(C),193,91,30(1),2721,-,1,5,-,0.3,71.4,3.8,1,1.2,1.2,0.8,0.9,9.4,0.4,1.1,-,0.2,0.1,0.2,0.2,-,0.1,33.7,0.1,2.6,-
Kevin McNaughton,Cardiff,sct,34,D(R),178,66,3(2),281,-,-,-,-,-,80.4,0.2,-,1.2,1.4,-,0.4,2,1,-,-,0.6,0.2,-,0.2,0.2,-,22.4,0.4,0.6,-
Steven Caulker,Cardiff,eng,24,D(C),191,76,38,3420,5,-,1,-,0.9,74.4,3.8,5,1.2,1.2,0.2,0.9,8.6,0.3,1.6,-,0.2,0.1,0.2,0.1,0.1,0.2,34.9,-,1.8,-
Nicky Maynard,Cardiff,eng,29,FW,180,70,0(8),122,-,-,-,-,0.5,84,-,-,-,-,0.3,-,0.1,0.5,-,-,0.1,0.1,0.3,-,0.4,0.5,3.1,-,0.1,-
Cala,Cardiff,es,26,D(C),180,76,7,585,2,-,3,1,1,70.5,2.6,2,2.7,2.7,1.1,0.1,5.4,0.9,0.6,-,0.1,0.1,0.6,0.4,0.1,0.7,25.1,0.1,3.6,-
Andrew Taylor,Cardiff,eng,30,D(L),178,69,18,1573,-,-,-,-,0.3,79,1.3,-,0.7,1.2,0.2,0.3,3.2,0.4,0.5,-,0.6,0.1,0.6,-,0.6,0.3,34.9,0.7,2.3,-
Fabio,Cardiff,br,26,D(LR),172,65,13,1002,-,-,2,-,0.7,75.2,0.9,-,3.4,1.4,1.3,0.2,2.1,1.6,0.2,-,0.5,0.9,1.2,0.2,1.4,0.8,27,0.1,0.8,-
Jo Inge Berget,Cardiff,no,26,"AM(LR),FW",184,78,0(1),11,-,-,-,-,1,75,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-
Peter Whittingham,Cardiff,eng,32,AM(CL),178,63,30(2),2661,3,5,3,-,1.4,81.4,0.3,1,1.2,1,0.6,0.1,2.1,0.8,0.3,-,1.7,0.5,0.5,-,1,0.7,41.1,1.8,2.9,0.1
Tom James,Cardiff,,20,Defender,0,0,0(1),1,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-
Mats Møller Dæhli,Cardiff,no,21,AM(L),172,71,5(8),626,1,-,-,-,0.5,89.3,0.3,-,0.2,0.5,0.1,-,0.1,0.7,-,-,0.4,1,0.5,-,0.9,0.5,20.9,-,0.4,-
David Marshall,Cardiff,sct,31,GK,191,83,37,3330,-,-,2,-,-,46.3,0.1,2,-,-,-,-,0.6,-,-,-,-,-,0.1,-,-,-,30.7,-,7.9,-
Craig Bellamy,Cardiff,wls,37,AM(R),175,68,13(9),1256,1,1,3,-,0.8,84.7,-,1,1.1,0.5,0.3,-,0.5,0.5,-,-,1,0.3,0.6,0.4,0.7,0.5,23.2,0.7,1,-
Mark Hudson,Cardiff,eng,34,D(C),185,78,2,147,-,-,-,-,1.5,81.7,6.5,-,-,2.5,0.5,-,10.5,0.5,1,-,-,-,1,-,-,-,46.5,-,5,-
Kévin Théophile-Catherine,Cardiff,fr,26,D(CLR),183,88,26(2),2357,-,-,3,-,0.4,66.1,2.1,-,2.2,1.8,1.1,0.2,4.3,0.8,0.5,-,0.4,0.7,0.9,-,1.6,0.9,31,0.8,0.9,-
Joe Lewis,Cardiff,eng,28,GK,198,85,1,90,-,-,-,-,-,67.4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,43,-,15,-
Rhys Healey,Cardiff,wls,21,Forward,180,72,0(1),14,-,-,-,-,-,100,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,4,1,-,-,-
Magnus Wolff Eikrem,Cardiff,no,26,M(CLR),184,69,1(5),198,-,1,-,-,1,80,0.2,-,1,1,0.2,-,0.3,0.7,-,-,2.2,0.2,0.5,-,-,-,24.2,2,2.3,-
Matthew Connolly,Cardiff,eng,28,D(CR),188,84,3,270,-,-,2,-,0.7,67,1.7,-,2,1.7,1.7,-,6,1.3,1,-,0.3,0.7,0.3,-,-,-,32.3,0.7,1.3,-
Kenwyne Jones,Cardiff,tt,31,FW,188,84,6(5),583,1,1,-,-,1.6,60.3,4.2,-,0.3,-,0.3,-,1.5,0.5,0.3,-,0.9,0.2,0.6,0.2,1.6,1.5,17.6,-,0.4,0.1
Don Cowie,Cardiff,sct,33,"DMC,M(R)",180,73,10(8),963,-,2,1,-,0.4,84.3,0.8,-,0.8,0.7,0.4,-,1,0.6,0.1,-,0.8,0.2,0.3,0.1,0.7,1,19.5,0.6,0.5,-
Jordon Mutch,Cardiff,eng,24,AM(CL),175,65,26(9),2264,7,5,5,-,1.6,74.2,1.5,1,1.4,0.8,1.3,-,1,0.9,0.2,-,0.9,1.2,1.2,0.2,1,1.3,28.5,0.5,1.6,0.1
Kim Bo-Kyung,Cardiff,kr,26,AM(CLR),178,70,21(7),1680,1,-,4,-,0.8,83.4,0.1,1,1.2,1.3,0.9,-,0.7,0.9,-,-,0.6,1,1.4,-,1.9,1.3,23.7,0.1,0.7,-
Declan John,Cardiff,wls,21,D(L),173,64,16(4),1488,-,-,-,-,0.3,79.1,0.6,-,1.3,0.5,0.2,0.3,1.5,0.6,0.1,-,0.3,0.8,0.2,-,0.5,0.3,23.3,0.2,1,-
Gary Medel,Cardiff,cl,29,"D(C),DMC",172,71,34,2873,-,1,6,-,0.5,88,0.8,-,2.3,1.9,1,0.1,1.8,1.5,0.3,-,0.2,0.4,0.7,-,0.6,0.5,53.6,-,5.9,-
Peter Odemwingie,Cardiff,ng,35,"AM(LR),FW",182,75,11(4),801,1,-,1,-,0.9,76.2,0.9,-,0.6,0.3,0.9,-,0.1,0.5,-,-,0.7,1.5,0.9,1.1,1.7,1,19.3,0.2,0.3,-
Craig Noone,Cardiff,eng,28,M(LR),177,69,13(4),1225,1,1,2,-,1.6,71.3,0.6,-,0.9,1.1,0.8,-,0.9,1.2,-,-,0.8,2.4,1.1,0.1,2.6,1.9,13.5,1.4,0.9,0.1
Wilfried Zaha,Cardiff,eng,23,AM(LR),180,66,5(7),585,-,1,1,-,0.8,79.3,0.3,-,1.3,0.3,0.5,-,-,0.4,-,-,0.6,2.7,0.9,0.3,3.2,1.4,11.3,0.3,0.3,0.2
Fraizer Campbell,Cardiff,eng,29,FW,172,82,32(5),2776,6,2,4,-,1.6,73,1.5,1,0.9,0.4,1.2,-,0.4,0.8,0.1,-,0.6,0.6,1.6,0.6,1.9,2.1,14.4,0.1,0.1,-
Rudy Gestede,Cardiff,bj,27,FW,193,86,0(3),50,-,-,-,-,0.3,48,3.3,-,-,-,-,-,0.3,-,-,-,-,0.3,0.3,-,1,-,8.3,-,0.3,-
Andreas Cornelius,Cardiff,dk,23,FW,192,89,0(8),107,-,-,-,-,0.5,70,1.3,-,0.4,-,0.3,-,0.3,-,-,-,-,-,0.3,-,0.5,0.6,3.8,-,-,-
Romelu Lukaku,Chelsea,be,23,FW,190,94,0(2),41,-,-,-,-,1.5,81.3,0.5,-,0.5,-,-,-,-,0.5,-,-,-,-,0.5,-,-,1,8,-,-,-
Mohamed Salah,Chelsea,eg,24,"AM(CLR),FW",175,72,6(4),501,2,1,1,-,2.1,82.3,0.2,2,0.7,0.7,0.3,-,0.2,0.4,-,-,0.9,1.6,1.4,0.1,1.8,1,22,0.2,0.4,-
Willian,Chelsea,br,28,AM(CLR),175,75,18(7),1680,4,2,3,1,1.8,85.6,0.3,1,1.8,0.7,1,-,0.3,0.8,-,-,2.6,1.5,0.8,0.2,1.3,1.2,39.4,1.5,2.9,-
Juan Mata,Chelsea,es,28,AM(CLR),170,63,11(2),834,-,2,-,-,0.8,88.1,0.2,-,1.1,0.2,0.5,-,0.2,0.8,-,-,2.3,0.8,1.2,0.4,0.8,1.2,41.3,1.8,2.4,0.2
Petr Cech,Chelsea,cz,34,GK,196,90,34,3060,-,-,-,-,-,52.9,0.2,-,-,-,-,-,0.6,-,-,-,0.1,-,0.1,-,-,-,23,-,6.7,-
Gary Cahill,Chelsea,eng,30,D(C),193,86,29(1),2623,1,1,2,-,0.6,88.3,3.5,-,1.1,1,0.4,0.6,6.8,0.3,0.7,-,0.3,0.2,0.7,-,0.3,0.3,43.7,-,3.1,-
Marco van Ginkel,Chelsea,nl,23,DMC,186,82,0(2),11,-,-,-,-,-,50,-,-,-,0.5,-,-,1,0.5,-,-,-,-,-,-,-,-,4,-,0.5,-
Ashley Cole,Chelsea,eng,35,D(L),176,66,15(2),1387,-,2,1,-,0.2,90,0.5,-,2.2,1.2,0.8,0.1,2,0.9,0.2,-,1,0.5,0.9,0.1,0.5,1,41.1,0.2,1.7,-
Oscar,Chelsea,br,25,AM(CLR),179,67,24(9),2144,8,2,4,-,2.2,83.3,0.8,2,2,0.2,1,-,0.7,0.8,-,-,1.5,0.8,0.8,0.1,1.2,1.3,38.2,0.6,2.2,-
Fernando Torres,Chelsea,es,32,FW,185,79,16(12),1572,5,5,3,1,2.2,66.7,2.4,2,0.4,0.1,0.8,-,0.3,0.2,-,-,1,1.2,1,0.8,1.3,1.3,16,0.1,0.4,-
Nathan Aké,Chelsea,nl,21,"D(L),DMC",180,75,0(1),11,-,-,-,-,-,100,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,-,-,-
Kevin De Bruyne,Chelsea,be,25,"AM(CLR),FW",181,68,2(1),132,-,1,1,-,1.3,82.9,-,-,0.7,-,0.3,-,1.3,1,0.3,-,1,0.3,-,-,1,1.3,25.3,-,2,0.3
Tomas Kalas,Chelsea,cz,23,D(CR),182,73,2,180,-,-,-,-,0.5,95.5,0.5,-,-,1.5,-,0.5,6,0.5,1.5,-,-,0.5,-,-,-,-,22,-,3.5,-
David Luiz,Chelsea,br,29,"D(C),DMC",189,84,15(4),1359,-,1,6,-,1.6,81.4,2.2,1,1.2,1.3,1.4,0.3,4.6,0.9,0.3,-,0.2,0.6,1.2,-,0.3,0.5,43.1,0.1,5.4,-
Ramires,Chelsea,br,29,M(CR),180,70,29(1),2610,1,2,8,1,1.7,83.8,1.4,-,2.8,0.8,1.8,-,1.3,1.9,0.2,-,1.1,1.1,1.9,0.2,0.9,1.4,46.4,0.3,2.9,0.1
John Swift,Chelsea,eng,21,AM(CL),182,73,0(1),1,-,-,-,-,-,66.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,-
César Azpilicueta,Chelsea,es,27,D(LR),178,75,26(3),2325,-,-,1,-,0.2,80.6,1.4,1,3.4,1.7,1,0.1,4.8,1,0.3,1,0.4,0.2,0.8,-,0.3,0.5,41.2,0.4,2.3,-
Ryan Bertrand,Chelsea,eng,27,"D(CL),M(L)",179,85,1,64,-,-,-,-,-,96.6,2,-,1,-,1,-,4,-,-,-,-,2,-,-,-,-,59,-,-,-
André Schürrle,Chelsea,de,25,"M(LR),FW",184,74,15(15),1327,8,2,1,-,1.9,82.6,0.7,3,1.3,0.6,0.7,-,0.5,0.6,-,-,1,0.6,0.4,0.5,0.6,1.2,17.2,0.6,0.4,-
Nemanja Matic,Chelsea,rs,28,DMC,194,84,15(2),1364,-,4,3,-,0.8,84.8,2.8,1,3.3,1.8,1.6,-,3.6,1.4,0.3,-,1.4,1.4,0.7,0.1,1.1,1,56,0.1,4.5,0.2
Mark Schwarzer,Chelsea,au,43,GK,194,95,4,360,-,-,-,-,-,58,0.3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,20.3,-,6.3,-
John Terry,Chelsea,eng,35,D(C),187,90,34,3060,2,1,3,-,0.8,90.2,3,1,0.9,1,0.4,0.4,6.7,0.2,0.6,1,0.1,0.1,0.6,0.1,0.1,0.1,50.2,-,3.6,-
John Obi Mikel,Chelsea,ng,29,DMC,188,83,11(13),1065,1,1,3,-,0.4,89.5,0.8,-,1.3,1,0.8,-,1.4,0.8,0.3,-,0.4,0.4,0.4,-,0.2,0.3,28.5,-,2.5,-
Demba Ba,Chelsea,sn,31,FW,189,86,5(14),661,5,1,-,-,1.6,64.2,1.4,-,0.2,0.1,0.9,-,0.2,0.1,0.1,-,0.4,0.2,0.4,0.5,0.6,1.1,9.1,-,0.2,-
Samuel Eto'o,Chelsea,cm,35,"M(CL),FW",179,75,16(5),1306,9,2,1,-,2.8,76.1,0.3,2,0.6,0.1,0.7,-,0.2,0.2,-,-,1,0.9,0.7,0.7,1.7,1,15.5,-,0.3,-
Michael Essien,Chelsea,gh,33,"D(R),DMC",183,78,2(3),148,-,-,2,-,0.6,90.2,0.8,-,0.8,0.4,0.4,-,1,0.4,0.2,-,-,1.4,0.4,0.2,0.4,0.4,26.4,-,2.6,-
Frank Lampard,Chelsea,eng,38,M(C),184,89,20(6),1705,6,3,4,-,2.2,82.4,0.5,3,1.7,0.5,0.7,-,1.4,0.8,0.1,-,1.3,0.3,0.3,0.1,0.3,0.5,40.2,1.3,2.4,-
Eden Hazard,Chelsea,be,25,M(CLR),173,74,32(3),2898,14,7,2,-,2.1,83.4,0.5,6,0.7,0.5,0.5,-,0.4,0.7,-,-,2.7,3.8,2.5,0.3,2.3,1.9,44,0.3,1.6,0.2
Branislav Ivanovic,Chelsea,rs,32,D(CR),185,91,36,3180,3,1,8,-,1.1,81.8,3.3,1,1.8,1,1.3,0.4,5,0.4,0.2,-,0.8,0.5,0.7,0.2,0.4,0.4,42.4,0.6,2.2,-
Modibo Diakité,Sunderland,fr,29,D(CR),192,84,7,630,-,-,-,-,0.4,82.5,3.3,-,1.9,1.4,1.3,0.7,6,0.3,0.9,-,-,0.3,1.4,0.1,-,0.3,38.3,-,1.6,-
Wes Brown,Sunderland,eng,36,D(C),185,77,24(1),2065,-,1,2,3,0.6,80.1,2,-,1,1.2,0.7,0.4,5.2,0.6,1,1,0.2,0.2,0.7,-,0.2,0.4,35.6,-,3.8,-
Lee Cattermole,Sunderland,eng,28,M(C),178,76,21(3),1760,1,-,6,1,0.5,82.5,1,-,2.6,1.7,1.4,-,1.2,1.5,0.6,-,0.5,0.3,1,-,0.8,0.8,35.5,-,4.1,0.1
Phil Bardsley,Sunderland,sct,31,D(LR),180,74,26,2249,2,-,9,-,1.2,75.8,1.5,1,2.3,0.9,0.9,0.1,2.3,0.5,0.8,2,0.7,0.9,0.8,0.2,0.8,0.8,33.7,0.3,1.9,-
John O'Shea,Sunderland,ie,35,D(C),191,75,33,2922,1,-,2,1,0.2,84,2.2,-,1.3,1.5,0.6,0.5,5.2,0.4,0.6,1,0.2,0.1,0.3,-,-,0.4,38.3,-,3.2,-
Cabral,Sunderland,ch,27,DMC,178,75,1,90,-,-,-,-,5,86.9,1,-,4,1,5,-,-,2,1,-,-,1,1,-,-,-,61,-,4,-
Charalampos Mavrias,Sunderland,gr,22,Midfielder,178,74,1(3),150,-,-,-,-,-,77.6,0.5,-,1,0.5,-,-,0.3,0.5,-,-,0.5,0.3,0.3,-,0.8,0.3,12.3,0.3,-,-
Vito Mannone,Sunderland,it,28,GK,188,80,28(1),2567,-,-,-,-,-,53.3,0.1,5,-,-,-,-,0.8,-,-,-,0.1,-,-,-,-,-,34.1,-,10.1,-
Stéphane Sessegnon,Sunderland,bj,32,M(CLR),172,72,2,118,-,-,-,-,0.5,87.5,1,-,1,-,-,-,1,-,-,-,2,1,1,0.5,0.5,2,16,-,1,-
Ignacio Scocco,Sunderland,ar,31,FW,176,71,0(6),93,-,-,-,-,0.5,50,-,-,0.3,-,0.7,-,-,0.3,-,-,-,0.2,0.2,-,0.5,0.3,2.3,-,-,0.2
Steven Fletcher,Sunderland,sct,29,FW,186,76,13(7),1240,3,-,1,-,1.6,63.2,2.9,-,0.3,0.2,0.6,-,0.8,0.2,0.1,1,0.3,0.1,1,1,1.2,1.7,15.5,-,0.4,-
Carlos Cuéllar,Sunderland,es,35,D(C),190,84,4,342,-,-,-,-,-,73.2,1.8,-,2.3,0.8,0.5,0.8,9,0.8,1.8,1,0.3,0.3,0.8,-,-,0.3,24.3,-,1.5,-
Ondrej Celustka,Sunderland,cz,27,D(CR),186,82,14(7),1332,-,-,1,-,0.3,76,1.1,-,1.5,0.5,0.6,-,2.2,0.5,0.1,-,0.1,0.2,0.3,-,0.6,0.6,26.4,0.2,0.7,-
Valentin Roberge,Sunderland,fr,29,D(C),189,73,7(2),668,-,1,1,-,0.2,85.9,1,-,2.4,0.8,0.9,0.2,4,0.6,0.7,-,0.3,0.1,0.8,0.1,0.1,0.7,35.4,-,2.4,-
Marcos Alonso,Sunderland,es,25,"D(CL),M(L)",188,81,16,1440,-,1,4,1,1.6,71.9,1.8,1,3.3,2.4,1.3,-,4,1.4,0.1,-,1.1,1,1.6,0.1,0.9,0.8,38.8,0.8,2.3,-
Liam Bridcutt,Sunderland,sct,27,DMC,175,73,9(3),847,-,-,4,-,0.3,83.3,0.5,-,2.4,0.9,1.1,-,1,0.9,0.3,-,0.7,0.4,0.9,-,0.4,0.6,41,0.1,1.9,-
Sebastian Larsson,Sunderland,se,31,M(CR),178,70,24(7),2220,1,3,6,-,1.1,81.4,0.4,1,1.9,0.9,1.2,-,0.6,1,0.2,-,1.6,0.1,0.5,-,0.6,0.6,33.5,1.2,2.2,0.1
Ki Sung-yueng,Sunderland,kr,27,DMC,187,79,25(2),2185,3,1,3,-,1.5,90.8,0.6,-,1.6,0.8,0.6,-,0.8,0.6,0.2,-,1,0.9,1,0.1,1.2,0.7,44.3,0.1,3.6,-
Connor Wickham,Sunderland,eng,23,"AM(L),FW",191,90,10(5),848,5,1,1,-,1.7,68.5,1.7,2,0.5,0.5,1.1,-,0.5,0.3,0.1,-,0.3,0.7,1.5,0.3,1.9,1.5,15.9,0.1,0.7,0.1
Fabio Borini,Sunderland,it,25,"AM(LR),FW",178,73,25(7),2145,7,2,6,-,2.1,76.6,0.8,1,0.8,0.8,1.2,-,1.1,1,0.1,-,0.8,0.9,1.8,0.2,1.5,1.3,18.5,0.2,1,-
Jozy Altidore,Sunderland,us,26,FW,185,79,19(12),1778,1,1,3,-,0.9,67.4,2.4,-,0.5,0.2,1.7,-,0.7,0.3,0.1,-,0.8,0.4,1.4,0.4,1.3,1.4,15.7,0.1,0.5,-
Ji Dong-Won,Sunderland,kr,25,"AM(CL),FW",188,81,2(3),202,-,-,-,-,1.4,75.3,1.2,-,0.6,0.4,0.4,-,0.2,-,-,-,1.4,0.2,0.4,-,0.6,0.4,16.2,0.2,0.2,0.2
Santiago Vergini,Sunderland,ar,28,D(CR),191,83,10(1),978,-,-,2,-,0.4,78.3,1.1,-,2.3,1.4,1.2,0.2,3.7,1.2,0.4,-,0.2,0.8,0.3,-,0.6,0.4,40.3,-,1.3,-
David Vaughan,Sunderland,wls,33,M(C),171,70,2(1),172,-,-,-,-,0.3,83.1,-,-,3.3,0.3,0.7,-,2.7,2,0.3,-,-,0.3,-,-,1,-,23.7,-,0.7,-
El-Hadji Ba,Sunderland,fr,23,DMC,183,70,0(1),19,-,-,-,-,-,90.9,1,-,2,-,1,-,-,1,-,-,1,-,-,-,-,1,11,-,-,-
Emanuele Giaccherini,Sunderland,it,31,M(CLR),167,60,16(8),1356,4,4,4,-,1.5,82.3,0.1,-,1,0.2,0.5,-,0.3,0.9,-,-,1.2,1,1,0.4,1.6,1.4,20.5,0.4,0.8,0.1
Adam Johnson,Sunderland,eng,29,M(CLR),175,63,28(8),2446,8,5,2,-,1.6,77.7,0.2,2,0.5,0.5,0.4,-,0.4,0.4,-,-,1.8,1.2,0.9,0.1,1.1,1,21.6,1.3,1.8,0.1
Jack Colback,Sunderland,eng,26,"D(L),M(C)",176,70,28(5),2425,3,2,6,-,0.5,89.4,0.7,-,1.7,1.2,1.4,-,1.4,0.8,0.2,-,0.6,0.4,1.7,-,0.8,0.6,29.3,0.2,1.2,-
Craig Gardner,Sunderland,eng,29,"D(R),M(CLR)",178,76,7(11),766,2,2,5,-,1.3,72.7,0.4,-,1.8,0.3,0.6,-,0.6,0.8,0.3,-,0.6,0.1,0.4,0.1,0.4,0.3,15.4,0.1,1,0.1
Andrea Dossena,Sunderland,it,35,"D(L),M(L)",181,77,6(1),496,-,-,1,1,0.6,64.9,0.7,-,1.9,1.6,0.9,0.1,1,1.4,-,-,0.7,-,0.3,-,0.1,0.4,29.3,0.6,1.7,-
Keiren Westwood,Sunderland,ie,31,GK,187,92,10,853,-,-,-,-,-,39.2,0.2,-,-,-,-,-,0.6,-,-,-,0.1,-,0.1,-,0.1,-,27.3,-,7.3,-
Jos Hooiveld,Southampton,nl,33,D(C),193,86,3,270,-,-,1,-,0.3,83.3,3,-,2.7,1.7,1,2.7,7.3,1,-,1,-,-,0.7,-,-,0.3,54,-,6.3,-
Daniel Fox,Southampton,eng,30,D(CL),183,79,3,258,-,1,-,-,0.3,73.3,1.7,-,1.3,1,1,-,3.3,0.7,0.3,-,0.7,-,0.3,-,-,1.3,38.7,0.3,1.7,-
Harrison Reed,Southampton,eng,21,DMC,181,72,0(4),10,-,-,-,-,-,100,-,-,-,-,-,-,-,0.3,-,-,-,-,0.3,-,0.3,-,4.5,-,-,-
